,Rank,Collection,Volume,24h %,7d %,Floor Price,Owners,Items,uuid
2,120,KINGSHIP,17.52,+22.94%,-65.10%,0.13,2.1K,5.0K,6c7160dc-a6df-48c2-b6d1-6841d85d9812
8,121,Gazers by Matt Kane,17.44,---,+113.78%,9.5,413,1.0K,67e771b9-ba0d-421a-ab69-124d522e69ce
3,122,ANIM.JP Official,17.4,-41.64%,---,0.05,1.7K,6.6K,ba6fabaf-96bb-4a46-8e2e-2a69aa363397
7,123,CryptoDickbutts,16.85,+39.48%,+80.52%,1.9,1.7K,5.2K,d2a7da15-b0cb-4537-abf6-2d51f1443263
4,124,THE SNKRZ NFT,"96,586.89",+33.44%,-46.95%,1790,2.4K,10.5K,4e1d7817-2e91-4c5f-90a2-c6dd27d5dfff
37,125,edo2022,16.38,+128.03%,+73.94%,0.36,1.0K,2.0K,8c773937-5e14-4181-85a4-80d8dbd4a08d
35,126,MinTech,15.88,+211.45%,-64.67%,2.71,299,300,e13f1626-02b1-4ab2-824b-c93cb318b075
36,127,Inprecision by Thomas Lin Pedersen,15.78,---,---,4.41,67,100,cdce0689-324a-41a9-9412-620322f47125
31,128,Kaiju Kingz,15.71,-22.65%,-13.19%,0.54,2.7K,7.1K,6c8d8abb-4ec3-4d71-aec8-a797fc01d80f
34,129,KILLABEARS,15.68,-13.24%,-61.26%,1.19,1.2K,3.3K,c248fb6a-0ff8-46da-82c5-38608c464eef
32,130,Susanoo - autogen,609.11,-56.53%,---,---,---,---,7ccde6e5-a729-4da2-8c84-5b7d683fd61b
33,131,Cyber Snails Official,15.41,+225.64%,+338.75%,0.11,661,3.3K,f3a19f6e-f79d-46a3-b190-7494e49bd477
0,132,Akutars,15.37,+27.38%,+30.40%,0.65,5.3K,15.0K,d9ae8093-3419-4657-9a4f-71e31d36e99e
29,133,Etherjump Plots,15.31,-16.13%,---,0.06,2.0K,5.6K,be54932b-de76-4b28-bb76-e961f881f836
27,134,Ape Hater Club,15.31,+44.23%,+1555.39%,0.05,2.4K,12.2K,07541828-447a-4f93-bf36-1102e88cec4c
28,135,The Asylum Halls - The Sylvesters,14.94,+24.91%,---,0.17,873,1.6K,e10b7239-b030-4aa5-828d-b6b8e458458d
23,136,Pixel Guild - Golden Keys,583.92,-76.44%,---,0.15,11.7K,26.0K,ccf25386-14ab-406b-9e33-18a19ab3b360
26,137,Gothic Degens,579.31,-15.26%,-51.46%,20,1.8K,4.4K,bd9d7bd3-3852-4525-8317-fe366db4debd
24,138,NYAW - autogen,577.75,---,---,---,---,---,45086b16-a5e1-4bb5-93e6-1c827525b7a1
25,139,Dooplicator,14.68,-43.22%,-0.01%,1.14,5.6K,9.4K,70a3ce6c-9133-46b9-bad2-45c812194e49
1,140,Angry Ape Army,14.54,+59.46%,+37.91%,2.39,1.0K,3.3K,93e7c8b4-cd88-43a4-8342-d91d98bca8b9
22,141,MoonRatzWTF,14.32,+15.63%,---,< 0.01,1.9K,5.0K,0b5262ce-cc76-4c08-b8d6-fe45a2d0e939
20,142,BEEPLE - SPRING/SUMMER COLLECTION 2021,13.99,---,---,14.9,166,511,09d912e7-c4e3-40f0-8455-81a4fe5ba5fe
21,143,Allstarz Official,13.85,-81.81%,+1013.94%,0.03,2.6K,10.0K,df82510f-bb1a-4f30-ad39-d78b1bfeb408
16,144,ZenAcademy,13.72,+848.31%,-58.40%,0.36,5.4K,2,21ea3e28-e8b0-4d6d-8c52-9c9b5ad63845
19,145,DTPR - autogen,534.99,+1739.80%,+917.93%,---,---,---,6aba6576-7f42-4db8-b0ed-4077d29c4876
17,146,THE PLUTO ALLIANCE,13.45,+1004.67%,+77.96%,0.15,2.1K,10.0K,c6b9fd87-47e2-4c28-b0de-b3384cd1487a
18,147,Poolsuite - Executive Member,13.43,+801.21%,+148.57%,1.74,1.9K,2.5K,7f966ead-49a9-4433-adf4-45faee242b98
2,148,Genesis Box,13.37,-1.31%,-41.85%,0.25,5.6K,24.0K,ba23c81a-d87a-4048-897a-5e6ac07e801b
15,149,mfers,13.35,-13.53%,-24.99%,1.35,5.7K,10.0K,4bcd0e98-5da7-4f3d-8939-582d79b4c8e5
13,150,Sappy Seals,13.35,+8.32%,+54.19%,0.57,1.4K,10.0K,4169237b-edbf-4a7c-9d60-006e3cc01521
14,151,Creepz Genesis,13.25,-56.70%,+50.84%,1.3,537,11.1K,91b64d04-ead9-4f8c-b1ea-99834eba70ef
3,152,TYR-Infant - autogen,517.85,+0.97%,+117.53%,---,---,---,88191d5b-b96b-4a98-ad9e-5f2ca08b2b19
12,153,Japanese Born Ape Society,13.24,+279.57%,-33.49%,0.56,1.2K,4.5K,52d62206-0851-4cf6-a4b5-9639545839df
10,154,Dead Rejects - autogen,514.87,+12.67%,-77.98%,---,---,---,b9be8f19-f60f-4e25-a9ed-f1ef8e3725d7
11,155,10KTF,13.09,-45.28%,-50.48%,0.59,5.5K,22.2K,286738c7-ea87-4dc5-9600-dbe341c82d53
4,156,DeadFellaz,12.95,-4.09%,-25.42%,0.94,6.4K,10.0K,82a2472b-b76a-4b18-9f5d-d2be41945f9f
9,157,Cyber Samurai Genesis Collection - autogen,506.28,+184.37%,+732.17%,---,---,---,c45841d7-e18f-4203-80e5-161bdfc8094f
5,158,JRNY Club,12.78,+259.44%,+6.69%,0.87,6.0K,10.0K,959308c7-725e-4310-8ef0-3190057d6e1a
8,159,Balloonsville,497.15,+4135.46%,+178.51%,4,1.3K,5.0K,5cfd9595-f404-4632-9d11-2891d9033550
6,160,Forgotten Runes Warriors Guild,12.58,+25.81%,+58.05%,0.23,3.8K,16.0K,36a01907-5603-4fb8-b951-44e76df4094e
38,161,HanfuNFT,12.55,+8.93%,+326.68%,0.04,1.2K,5.2K,efde9de2-7134-46a8-bcd3-eff8d27cb4ad
36,162,TIMEPieces: Into the Metaverse by Micah Johnson,12.54,-91.95%,---,0.14,1.7K,1,44dda62e-3276-4b18-ac68-a649d070289b
37,163,Tableland Rigs,12.47,+43.04%,-89.65%,0.28,1.6K,3.0K,f216ff52-64e8-4b79-86c3-0bdb74476239
0,164,MetaZoo Games Beasties,12.46,-15.77%,+197.19%,0.09,1.3K,5.0K,8722f691-9a25-46b9-ba05-a14b229b96dc
34,165,Pen Frens Revel City - autogen,485.98,+558.92%,+226.41%,---,---,---,f3976509-b9e4-4bb8-8223-58a9a0f51195
32,166,10KTF Gucci Grail,12.34,+9.09%,+55.75%,1.38,3.1K,4.3K,10558d4f-fc2b-4cc6-a869-fce508f523d5
33,167,LuppyclubOfficial,12.15,+956.52%,+1038.23%,1.15,332,1.5K,b77bf8fc-38a8-4e51-bfe8-0a9937385ae5
28,168,Cets on Creck,473.94,+251.82%,-17.36%,55,3.9K,7.0K,b2b9d92d-77cc-4411-8d28-790e75c29184
31,169,Nuclear Nerds of the Accidental Apocalypse,11.99,+3222.80%,+114.34%,0.13,3.3K,9.0K,803975b8-632b-4c75-8e8b-5c5ec20c75fe
29,170,Rise Of Dark Death,11.97,---,---,< 0.01,2.7K,6.7K,d96cbf49-dbbf-4f3e-8c96-b44f240ac755
30,171,Office Hours Official,11.91,-96.95%,---,0.03,817,1.6K,8d8bf59e-a005-4442-8035-f273d82c3519
1,172,BBH - autogen,465.14,---,---,---,---,---,f498a487-1acd-4c54-9dce-f2c874c92594
27,173,Solana Hills - autogen,465.02,+339.52%,+3150.68%,---,---,---,b50a593e-0080-4054-909c-45f7c73c5051
25,174,Mirandus,11.83,+22.18%,-76.34%,0.02,17.1K,185,a43c641a-27c1-4216-9244-af12c8b4b73d
26,175,Gutter Dogs,11.82,+138.20%,+30.51%,1.4,2.0K,2.9K,9c8865f8-a56d-49f5-bc69-6e8c674f3a8a
21,176,CNP Jobs,11.7,+45.48%,-86.90%,0.13,3.2K,11.1K,16a67b6b-d7c5-44a1-9107-4deb21be4300
24,177,PF - autogen - 4AV4lwR8RC,452.82,---,---,---,---,---,a524dc31-654b-4c0d-9a6d-ec3daf1aa36f
22,178,Liberty Square: The Sinister Squirrel Syndicate,447.74,+12.29%,-88.68%,1.6,2.4K,10.0K,64a0ff66-a652-4e1e-b43e-9ddcd1f101ef
23,179,Communi3 - autogen - ugGfzIi2S7,447.32,---,---,---,---,---,9ba45eeb-0db5-4e3c-aac4-9dc8b068e6e5
0,180,Bored Ape Travel World,11.41,-61.14%,---,< 0.01,1.5K,4.0K,f531e5d5-cbb3-4462-abbb-64f07983ced4
20,181,OnChainMonkey,11.39,+935.21%,-38.15%,1.08,3.0K,9.5K,643d492a-cbcd-4447-87c7-8bef8b4e49cc
18,182,The Mirror Dragons - autogen,441.89,---,---,---,---,---,3936880d-da81-43d3-8086-03982c72bfc7
19,183,RTFKT - MNLTH,11.23,+1.34%,+38.72%,3.78,3.6K,1,407808dc-229d-4b92-9e2b-9107306641e5
14,184,JakNFT Mints,11.21,---,+679.29%,0.11,386,5,84955687-a9e2-4133-982d-fca0e4e407bf
17,185,Trippin’ Ape Tribe,435.87,+20.65%,+12.03%,15,9.1K,10.0K,19af043f-0039-4745-b668-1b4b5e559487
15,186,VIP Round2 - autogen,433.41,---,---,---,---,---,c5f53f72-b87d-438a-9212-72c20af0624d
16,187,Wilder Moto,10.93,+0.82%,+51.71%,0.5,1.4K,6.4K,a11e1820-9db0-4311-928d-249d8abca52d
1,188,Lablings - autogen,425.63,---,---,---,---,---,3ab76605-7711-4ae8-969c-9ede819fe747
13,189,Sociopeth,10.78,---,---,0.02,2.4K,3.7K,7651f562-0f2e-494b-8516-bf8b27d840f7
11,190,Spray Canz,10.62,---,---,< 0.01,1.3K,1.7K,14d4b21f-dd5c-44fe-a053-18e471abf547
12,191,Beanz PFP - autogen,411.03,---,---,---,---,---,8047f114-1326-4ae3-8671-362e8a25e3f6
2,192,alien frens,10.42,+117.18%,-10.28%,0.47,6.7K,10.0K,bbc79f63-6865-49b0-b802-36d394cccb9b
10,193,MEGAMI_NFT,10.38,-57.81%,-79.15%,0.12,4.0K,9.7K,522144ad-024e-4ec0-b504-f69e9e77c2cd
8,194,Cypherpunk Zero,10.36,+811.48%,+68.37%,0.09,1.1K,9.9K,7361d2eb-a983-485d-98ba-206bdc28525f
9,195,CyberKongz VX,10.33,+234.93%,+4.25%,0.62,2.7K,14.8K,d8e8a213-6c6b-42db-8aa0-79b4f6f793c9
3,196,Pepe Ape Yacht Club,10.26,-22.38%,---,0.01,2.2K,7.8K,40348b68-cdfc-418e-994f-17cb8a970799
7,197,GFK - autogen,400.74,---,---,---,---,---,7bc181f2-9c37-4e73-af6c-8d3f90edb369
4,198,Degen Ducks DAO - autogen,395.49,---,---,---,---,---,02500d7f-1a60-49ca-ba5e-88b2afc27e54
5,199,AStrandOfHair,10.07,-63.60%,---,< 0.01,3.3K,10.4K,e766e93a-8537-49a2-b3f6-65575a171b9d
6,200,Decimus Dynamics Genisis - autogen,393.58,-0.40%,-73.50%,---,---,---,c9fc84fd-e0e4-4649-8382-5491184e952b
